Identifier,Coordinate,Family,Common_Name,SubCellular,SubOrganellar
AT3G06120,p02-r06-c22,bHLH,MUTE,Nucleus,"Nucleus, nucleolus; Chromosome"
AT4G22950,p02-r06-c23,MADS,GL19,Nucleus,"Nucleus, nucleolus; Chromosome"
AT2G28610,p02-r06-c24,HB,PRS1,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT2G34600,p02-r07-c01,ZIM,TIFY5B,Nucleus,"Nucleus, nucleolus; Chromosome"
AT5G18270,p02-r07-c02,NAC,ANAC087,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT1G51060,p02-r07-c03,CCAAT,HTA10,Nucleus,Chromosome
AT1G16640,p02-r07-c04,ABI3-VP1,AT1G16640,Nucleus,Chromosome
AT4G18390,p02-r07-c05,TCP,TCP2,Nucleus,Chromosome
AT3G26744,p02-r07-c06,bHLH,ICE1,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT5G13080,p02-r07-c07,WRKY,WRKY75,Nucleus,"Nucleus, nucleolus; Chromosome"
AT3G02990,p02-r07-c08,HSF,ATHSFA1E,Nucleus,"Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Nucleus, PML body; Chromosome"
AT1G52830,p02-r07-c09,AUX-IAA,SHY1,Nucleus,"Nucleus, nucleolus; Chromosome"
AT4G35700,p02-r07-c10,C2H2,DAZ3,Nucleus,Chromosome
AT3G10595,p02-r07-c11,MYB,AT3G10595,Nucleus,Chromosome
AT3G43440,p02-r07-c12,ZIM,JAZ11,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT3G60670,p02-r07-c13,PLATZ,AT3G60670,Nucleus,Chromosome
AT5G18450,p02-r07-c14,AP2-EREBP,AT5G18450,Nucleus,"Nucleus, nucleolus; Chromosome"
AT2G40470,p02-r07-c15,LOB,LBD15,Nucleus,Chromosome
AT3G62260,p02-r07-c16,DBP,AT3G62260,Cytoplasm,"Cytoplasm, cytosol"
AT5G55690,p02-r07-c17,MADS,AT5G55690,Nucleus,"Nucleus, nucleolus; Chromosome"
AT3G23050,p02-r07-c18,AUX-IAA,IAA7,Nucleus,Chromosome
AT3G17600,p02-r07-c19,AUX-IAA,IAA31,Nucleus,Chromosome
AT5G54640,p02-r07-c20,CCAAT,HTA1,Nucleus,Chromosome
AT1G71692,p02-r07-c21,MADS,XAL1,Nucleus,"Nucleus, nucleolus; Chromosome"
AT4G17460,p02-r07-c22,HB,HAT1,Nucleus,"Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Nucleus, PML body; Chromosome"
AT5G21960,p02-r07-c23,AP2-EREBP,AT5G21960,Nucleus,Chromosome
AT3G03760,p02-r07-c24,LOB,LBD20,Nucleus,Chromosome
AT5G40880,p02-r08-c01,C3H,AT5G40880,Cytoplasm,"Cytoplasm, cytoskeleton"
AT4G01260,p02-r08-c02,GeBP,AT4G01260,Nucleus,"Nucleus, nucleolus; Chromosome"
AT5G07690,p02-r08-c03,MYB,MYB29,Nucleus,"Nucleus, nucleolus; Chromosome"
AT4G09820,p02-r08-c04,bHLH,AtTT8,Nucleus,"Nucleus, nucleolus; Chromosome"
AT2G01930,p02-r08-c05,BBR-BPC,ATBPC1,Nucleus,"Nucleus, nucleolus; Chromosome"
AT4G00232,p02-r08-c06,GeBP,AT4G00232,Nucleus,"Nucleus, nucleolus; Chromosome"
AT5G08190,p02-r08-c07,CCAAT,NF-YB12,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G68200,p02-r08-c08,C3H,AtC3H15,Cytoplasm,"Cytoplasm, cytoskeleton"
AT2G37120,p02-r08-c09,S1Fa-like,AT2G37120,Endoplasmic,Endoplasmic reticulum membrane
AT1G72570,p02-r08-c10,AP2-EREBP,AT1G72570,Nucleus,Chromosome
AT5G17240,p02-r08-c11,SET,SDG40,Cytoplasm,"Cytoplasm, cytoskeleton"
AT1G77980,p02-r08-c12,MADS,AGL66,Nucleus,"Nucleus, nucleolus; Chromosome"
AT4G33450,p02-r08-c13,MYB,ATMYB69,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT1G74480,p02-r08-c14,RWP-RK,URP4,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G05805,p02-r08-c15,bHLH,AKS2,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G59530,p02-r08-c16,bZIP,bZIP4,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT3G07650,p02-r08-c17,C2C2-CO-like,COL9,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT2G27220,p02-r08-c18,HB,BLH5,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G14410,p02-r08-c19,PBF-2-like,PTAC1,Plastid,"Plastid, chloroplast stroma; Plastid, chloroplast thylakoid membrane"
AT1G77200,p02-r08-c20,AP2-EREBP,AT1G77200,Nucleus,"Nucleus, nucleolus; Chromosome"
AT4G00270,p02-r08-c21,GeBP,GeBP,Nucleus,"Nucleus, nucleolus; Chromosome"
AT4G28500,p02-r08-c22,NAC,NAC073,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G61660,p02-r08-c23,bHLH,AtbHLH112,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT5G09780,p02-r08-c24,ABI3-VP1,REM25,Nucleus,"Nucleus, nucleolus; Nucleus, nucleoplasm; Chromosome"
AT1G51190,p02-r09-c01,AP2-EREBP,PLT2,Nucleus,Chromosome
AT2G21530,p02-r09-c02,FHA,AT2G21530,Plastid,"Plastid, chloroplast membrane; Plastid, chloroplast stroma; Plastid, chloroplast thylakoid membrane"
AT5G45710,p02-r09-c03,HSF,AT-HSFA4C,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT1G24580,p02-r09-c04,ND,AT1G24580,Secreted,"Secreted, extracellular space"
AT3G53310,p02-r09-c05,ABI3-VP1,AT3G53310,Nucleus,"Nucleus, nucleolus; Chromosome"
AT2G31180,p02-r09-c06,MYB,MYB14,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT5G46710,p02-r09-c07,PLATZ,AT5G46710,Nucleus,"Nucleus, nucleolus; Chromosome"
AT5G12840,p02-r09-c08,CCAAT,NF-YA1,Nucleus,Chromosome
AT5G65130,p02-r09-c09,AP2-EREBP,WIND4,Nucleus,Chromosome
AT5G07310,p02-r09-c10,AP2-EREBP,ERF115,Nucleus,Chromosome
AT4G00220,p02-r09-c11,LOB,JLO,Nucleus,Chromosome
AT5G06070,p02-r09-c12,C2H2,RBE,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G22640,p02-r09-c13,MYB,ATMYB3,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT1G04370,p02-r09-c14,AP2-EREBP,ATERF14,Nucleus,Chromosome
AT3G04070,p02-r09-c15,NAC,NAC047,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G75490,p02-r09-c16,AP2-EREBP,AT1G75490,Nucleus,Chromosome
AT1G31320,p02-r09-c17,LOB,LBD4,Nucleus,Chromosome
AT5G05610,p02-r09-c18,ALFIN-like,AL1,Nucleus,"Nucleus, nucleolus; Chromosome"
AT5G46590,p02-r09-c19,NAC,ANAC096,Nucleus,"Nucleus, nucleolus; Chromosome"
AT5G15160,p02-r09-c20,bHLH,BHLH134,Nucleus,Chromosome
AT4G39780,p02-r09-c21,AP2-EREBP,AT4G39780,Nucleus,Chromosome
AT1G54140,p02-r09-c22,ND,TAFII21,Nucleus,"Nucleus, nucleolus; Chromosome"
AT2G13570,p02-r09-c23,CCAAT,NF-YB7,Nucleus,Chromosome
AT2G41070,p02-r09-c24,bZIP,EEL,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT2G31210,p02-r10-c01,bHLH,bHLH091,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G25330,p02-r10-c02,bHLH,CES,Nucleus,"Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Nucleus, PML body; Chromosome"
AT5G56900,p02-r10-c03,C3H,AT5G56900,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT5G60130,p02-r10-c04,ABI3-VP1,AT5G60130,Nucleus,"Nucleus, nucleolus; Nucleus, nucleoplasm; Chromosome"
AT3G61970,p02-r10-c05,ABI3-VP1,NGA2,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G12630,p02-r10-c06,AP2-EREBP,AT1G12630,Nucleus,Chromosome
AT2G33860,p02-r10-c07,ARF,ARF3,Nucleus,Chromosome
AT1G28160,p02-r10-c08,AP2-EREBP,AT1G28160,Nucleus,Chromosome
AT4G20280,p02-r10-c09,ND,TAF11,Nucleus,"Nucleus, nucleolus; Chromosome"
AT3G19184,p02-r10-c10,ABI3-VP1,AT3G19184,Nucleus,"Nucleus, nucleolus; Chromosome"
AT2G42040,p02-r10-c11,Orphans,AT2G42040,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT4G15248,p02-r10-c12,Orphans,BBX30,Nucleus,Chromosome
AT1G19510,p02-r10-c13,MYB-related,RL5,Nucleus,"Nucleus, nucleolus"
AT4G36590,p02-r10-c14,MADS,AT4G36590,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G67030,p02-r10-c15,C2H2,ZFP6,Nucleus,"Nucleus, nucleolus; Chromosome"
AT2G18328,p02-r10-c16,MYB-related,RL4,Nucleus,Chromosome
AT2G23760,p02-r10-c17,HB,BLH4,Nucleus,Nucleus speckle; Chromosome
AT5G07700,p02-r10-c18,MYB,AtMYB76,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT2G34140,p02-r10-c19,C2C2-DOF,CDF4,Nucleus,Chromosome
AT5G67411,p02-r10-c20,GRAS,AT5G67411,Mitochondrion,Mitochondrion matrix
AT4G13480,p02-r10-c21,MYB,MYB79,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT2G12646,p02-r10-c22,PLATZ,AT2G12646,Nucleus,Chromosome
AT3G11280,p02-r10-c23,MYB,AT3G11280,Nucleus,"Nucleus, nucleolus; Chromosome"
AT5G04150,p02-r10-c24,bHLH,BHLH101,Nucleus,"Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Chromosome"
AT2G30340,p02-r11-c01,LOB,LBD13,Nucleus,Chromosome
AT1G72350,p02-r11-c02,MADS,AT1G72350,Nucleus,"Nucleus, nucleolus; Chromosome"
AT2G45190,p02-r11-c03,C2C2-YABBY,YAB1,Nucleus,Chromosome
AT4G23550,p02-r11-c04,WRKY,ATWRKY29,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT1G54690,p02-r11-c05,CCAAT,H2AXB,Nucleus,Chromosome
AT3G06380,p02-r11-c06,TUB,ATTLP9,Nucleus,Chromosome
AT4G17810,p02-r11-c07,C2H2,AT4G17810,Nucleus,Chromosome
AT1G14350,p02-r11-c08,MYB,AtMYB124,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT3G49950,p02-r11-c09,GRAS,AT3G49950,Nucleus,Chromosome
AT2G27300,p02-r11-c10,NAC,ANAC040,Nucleus,Chromosome
AT1G58110,p02-r11-c11,bZIP,AT1G58110,Nucleus,Chromosome
AT4G18890,p02-r11-c12,BES1,BEH3,Nucleus,Chromosome
AT5G44210,p02-r11-c13,AP2-EREBP,ATERF-9,Nucleus,Chromosome
AT4G01280,p02-r11-c14,MYB-related,AT4G01280,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G71130,p02-r11-c15,AP2-EREBP,CRF8,Nucleus,Chromosome
AT3G55080,p02-r11-c16,SET,AT3G55080,Cytoplasm,"Cytoplasm, cytosol"
AT4G24540,p02-r11-c17,MADS,AGL24,Nucleus,"Nucleus, nucleolus; Chromosome"
AT5G53200,p02-r11-c18,MYB-related,TRY,Nucleus,"Nucleus, nucleolus; Nucleus membrane; Nucleus speckle; Chromosome"
AT1G23420,p02-r11-c19,C2C2-YABBY,INO,Nucleus,Chromosome
AT3G02940,p02-r11-c20,MYB,MYB107,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT2G33310,p02-r11-c21,AUX-IAA,IAA13,Nucleus,Chromosome
AT5G14750,p02-r11-c22,MYB,MYB66,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT3G23030,p02-r11-c23,AUX-IAA,IAA2,Nucleus,"Nucleus, nucleolus; Chromosome"
AT3G15170,p02-r11-c24,NAC,CUC1,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT1G43700,p02-r12-c01,bZIP,SUE3,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Nucleus, PML body; Chromosome"
AT5G43840,p02-r12-c02,HSF,HSFA6A,Nucleus,Chromosome
AT3G54430,p02-r12-c03,SRS,SRS6,Plastid,"Plastid, chloroplast stroma"
AT5G23000,p02-r12-c04,MYB,ATMYB37,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT5G17490,p02-r12-c05,GRAS,RGL3,Nucleus,Chromosome
AT5G51990,p02-r12-c06,AP2-EREBP,CBF4,Nucleus,Chromosome
AT1G28370,p02-r12-c07,AP2-EREBP,ERF11,Nucleus,Chromosome
AT5G25470,p02-r12-c08,ABI3-VP1,AT5G25470,Nucleus,"Nucleus, nucleolus; Chromosome"
AT2G22670,p02-r12-c09,AUX-IAA,IAA8,Nucleus,Chromosome
AT5G35900,p02-r12-c10,LOB,LBD35,Mitochondrion,Mitochondrion inner membrane
AT2G03710,p02-r12-c11,MADS,44808,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT2G46970,p02-r12-c12,bHLH,PIL1,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT3G60530,p02-r12-c13,C2C2-GATA,GATA4,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT5G58340,p02-r12-c14,MYB-related,AT5G58340,Nucleus,"Nucleus, nucleolus; Chromosome"
AT5G47230,p02-r12-c15,AP2-EREBP,ERF5,Nucleus,Chromosome
AT4G22700,p02-r12-c16,LOB,LBD32,Mitochondrion,Mitochondrion inner membrane
AT3G57800,p02-r12-c17,bHLH,AT3G57800,Nucleus,"Nucleus, nucleolus; Chromosome"
AT2G36340,p02-r12-c18,GeBP,GPL3,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G14030,p02-r12-c19,SET,LSMT-L,Plastid,"Plastid, chloroplast stroma; Plastid, chloroplast thylakoid membrane"
AT3G56520,p02-r12-c20,NAC,AT3G56520,Nucleus,Chromosome
AT2G45680,p02-r12-c21,TCP,TCP9,Nucleus,"Nucleus, nucleolus; Chromosome"
AT3G26620,p02-r12-c22,LOB,LBD23,Mitochondrion,Mitochondrion inner membrane
AT3G01330,p02-r12-c23,E2F-DP,E2FF,Nucleus,"Nucleus, nucleolus; Chromosome"
AT5G23650,p02-r12-c24,MYB,AT5G23650,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT5G15840,p02-r13-c01,C2C2-CO-like,BBX1,Nucleus,"Nucleus, nucleolus; Chromosome"
AT5G38140,p02-r13-c02,CCAAT,NF-YC12,Nucleus,"Nucleus, nucleolus; Chromosome"
AT4G35570,p02-r13-c03,HMG,HMGD,Nucleus,Chromosome
AT1G50640,p02-r13-c04,AP2-EREBP,ERF3,Nucleus,Chromosome
AT1G62990,p02-r13-c05,HB,KNAT7,Nucleus,"Nucleus, nucleolus; Chromosome"
AT5G53290,p02-r13-c06,AP2-EREBP,CRF3,Nucleus,"Nucleus, nucleolus; Chromosome"
AT4G25440,p02-r13-c07,C3H,ZFWD1,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G75250,p02-r13-c08,MYB-related,ATRL6,Nucleus,Chromosome
AT1G74430,p02-r13-c09,MYB,MYB95,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT5G62380,p02-r13-c10,NAC,NAC101,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT1G04240,p02-r13-c11,AUX-IAA,SHY2,Nucleus,Chromosome
AT1G12260,p02-r13-c12,NAC,NAC007,Nucleus,"Nucleus, nucleolus; Chromosome"
AT4G29080,p02-r13-c13,AUX-IAA,PAP2,Nucleus,"Nucleus, nucleolus; Chromosome"
AT4G02640,p02-r13-c14,bZIP,BZO2H1,Nucleus,"Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Nucleus, PML body; Chromosome"
AT1G49480,p02-r13-c15,ABI3-VP1,RTV1,Nucleus,"Nucleus, nucleolus; Chromosome"
AT5G26210,p02-r13-c16,ALFIN-like,AL4,Nucleus,"Nucleus, nucleolus; Chromosome"
AT5G23405,p02-r13-c17,HMG,AT5G23405,Nucleus,Chromosome
AT1G10480,p02-r13-c18,C2H2,ZFP5,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT5G59570,p02-r13-c19,G2-like,BOA,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT5G57520,p02-r13-c20,C2H2,ZFP2,Nucleus,Chromosome
AT5G46690,p02-r13-c21,bHLH,bHLH071,Nucleus,"Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus, PML body; Chromosome"
AT1G19860,p02-r13-c22,C3H,AT1G19860,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G03800,p02-r13-c23,AP2-EREBP,ERF10,Nucleus,Chromosome
AT3G46090,p02-r13-c24,C2H2,ZAT7,Nucleus,"Nucleus, nucleolus; Chromosome"
AT5G25890,p02-r14-c01,AUX-IAA,IAA28,Nucleus,"Nucleus, nucleolus; Chromosome"
AT5G15480,p02-r14-c02,C2H2,AT5G15480,Nucleus,Chromosome
AT2G19810,p02-r14-c03,C3H,AtOZF1,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT5G50470,p02-r14-c04,CCAAT,NF-YC7,Nucleus,Chromosome
AT4G17500,p02-r14-c05,AP2-EREBP,AtERF#100,Nucleus,Chromosome
AT1G10200,p02-r14-c06,LIM,WLIM1,Cytoplasm,"Cytoplasm, cytoskeleton"
AT3G28920,p02-r14-c07,zf-HD,ZHD9,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT3G44750,p02-r14-c08,C2H2,HDA3,Nucleus,"Nucleus, nucleolus"
AT2G24500,p02-r14-c09,C2H2,REIL2,Nucleus,Chromosome
AT2G18350,p02-r14-c10,zf-HD,ZHD6,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT1G06850,p02-r14-c11,bZIP,AtbZIP52,Nucleus,"Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Nucleus, PML body; Chromosome"
AT3G44785,p02-r14-c12,C3H,AT3G44785,Plastid,"Plastid, chloroplast thylakoid membrane"
AT2G31070,p02-r14-c13,TCP,TCP10,Nucleus,"Nucleus, nucleolus; Chromosome"
AT5G18300,p02-r14-c14,NAC,NAC088,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G28360,p02-r14-c15,AP2-EREBP,ERF12,Nucleus,Chromosome
AT5G43540,p02-r14-c16,C2H2,AT5G43540,Nucleus,Chromosome
AT4G36990,p02-r14-c17,HSF,ATHSF4,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G07050,p02-r14-c18,Orphans/,AT1G07050,Nucleus,"Nucleus, nucleolus; Chromosome"
AT4G40060,p02-r14-c19,HB,ATHB16,Nucleus,"Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Nucleus, PML body; Chromosome"
AT1G47655,p02-r14-c20,C2C2-DOF,AT1G47655,Nucleus,Chromosome
AT4G27900,p02-r14-c21,Orphans/,AT4G27900,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G49475,p02-r14-c22,ABI3-VP1,AT1G49475,Nucleus,"Nucleus, nucleolus; Chromosome"
AT2G40140,p02-r14-c23,C3H,CZF1,Cytoplasm,"Cytoplasm, cytoskeleton"
AT1G04445,p02-r14-c24,C2H2,AT1G04445,Mitochondrion,Mitochondrion inner membrane
AT2G35000,p02-r15-c01,ND,ATL9,Membrane,Cell membrane
AT4G32040,p02-r15-c02,HB,KNAT5,Nucleus,"Nucleus, nucleolus; Chromosome"
AT4G16750,p02-r15-c03,AP2-EREBP,AT4G16750,Nucleus,Chromosome
AT5G42630,p02-r15-c04,G2-like,KAN4,Nucleus,"Nucleus, nucleolus; Nucleus membrane; Nucleus speckle; Chromosome"
AT3G15540,p02-r15-c05,AUX-IAA,IAA19,Nucleus,Chromosome
AT2G31720,p02-r15-c06,ND,AT2G31720,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G29280,p02-r15-c07,WRKY,ATWRKY65,Nucleus,"Nucleus, nucleolus; Chromosome"
AT5G43270,p02-r15-c08,SBP,SPL2,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT4G28190,p02-r15-c09,ULT,ULT1,Nucleus,Chromosome
AT5G24520,p02-r15-c10,ND,TTG1,Nucleus,"Nucleus, nucleolus; Chromosome"
AT3G09230,p02-r15-c11,MYB,SRM1,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT2G20350,p02-r15-c12,AP2-EREBP,AT2G20350,Nucleus,Chromosome
AT5G15210,p02-r15-c13,zf-HD,ATHB30,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT3G01970,p02-r15-c14,WRKY,WRKY45,Nucleus,"Nucleus, nucleolus; Chromosome"
AT2G35310,p02-r15-c15,ABI3-VP1,REM23,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G06180,p02-r15-c16,MYB,ATMYB13,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT1G01520,p02-r15-c17,MYB-related,ASG4,Nucleus,"Nucleus, nucleolus; Chromosome"
AT2G41710,p02-r15-c18,AP2-EREBP,AT2G41710,Nucleus,"Nucleus, nucleolus; Chromosome"
AT5G26950,p02-r15-c19,MADS,AGL93,Nucleus,"Nucleus, nucleolus; Chromosome"
AT3G08500,p02-r15-c20,MYB,AtMYB83,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT4G13620,p02-r15-c21,AP2-EREBP,AT4G13620,Mitochondrion,Mitochondrion inner membrane
AT1G09030,p02-r15-c22,CCAAT,NF-YB4,Nucleus,"Nucleus, nucleolus; Chromosome"
AT3G53600,p02-r15-c23,C2H2,AT3G53600,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT4G36930,p02-r15-c24,bHLH,SPT,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Nucleus, PML body; Chromosome"
AT1G03040,p02-r16-c01,bHLH,AT1G03040,Nucleus,"Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Nucleus, PML body; Chromosome"
AT1G10470,p02-r16-c02,Orphans,ATRR1,Mitochondrion,Mitochondrion inner membrane
AT4G05100,p02-r16-c03,MYB,MYB74,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT2G31310,p02-r16-c04,LOB,LBD14,Mitochondrion,Mitochondrion inner membrane
AT4G28610,p02-r16-c05,G2-like,AtPHR1,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT2G40670,p02-r16-c06,Orphans,ARR16,Nucleus,Chromosome
AT5G66750,p02-r16-c07,SNF2,CHR1,Nucleus,"Nucleus, nucleolus; Chromosome"
AT4G17900,p02-r16-c08,PLATZ,AT4G17900,Nucleus,Chromosome
AT3G61890,p02-r16-c09,HB,ATHB-12,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Nucleus, PML body; Chromosome"
AT5G09240,p02-r16-c10,Coactivator,AT5G09240,Nucleus,"Nucleus, nucleolus; Chromosome"
AT5G04410,p02-r16-c11,NAC,ANAC078,Endoplasmic,Endoplasmic reticulum membrane
AT1G03150,p02-r16-c12,GNAT,AT1G03150,Mitochondrion,Mitochondrion inner membrane
AT1G54830,p02-r16-c13,CCAAT,NF-YC3,Nucleus,Chromosome
AT1G03650,p02-r16-c14,GNAT,AT1G03650,Cytoplasm,"Cytoplasm, cytosol"
AT1G18710,p02-r16-c15,MYB,AtMYB47,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G24040,p02-r16-c16,GNAT,AT1G24040,Plastid,"Plastid, chloroplast stroma; Plastid, chloroplast thylakoid membrane"
AT5G12870,p02-r16-c17,MYB,ATMYB46,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT1G26220,p02-r16-c18,GNAT,AT1G26220,Mitochondrion,Mitochondrion inner membrane
AT2G33710,p02-r16-c19,AP2-EREBP,AT2G33710,Nucleus,Chromosome
AT2G32030,p02-r16-c20,GNAT,AT2G32030,Cytoplasm,"Cytoplasm, cytosol"
AT4G01460,p02-r16-c21,bHLH,AT4G01460,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT5G11340,p02-r16-c22,GNAT,AT5G11340,Cytoplasm,"Cytoplasm, cytoskeleton; Cytoplasm, cytosol"
AT1G68520,p02-r16-c23,C2C2-CO-like,BBX14,Nucleus,"Nucleus, nucleolus; Chromosome"
AT5G15770,p02-r16-c24,GNAT,AtGNA1,Endoplasmic,Endoplasmic reticulum membrane
AT3G22560,p03-r01-c01,GNAT,AT3G22560,Mitochondrion,Mitochondrion matrix
AT3G50890,p03-r01-c02,zf-HD,HB28,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT1G54760,p03-r01-c03,ND,AGL85,NucleusCytoplasm,"Chromosome; Cytoplasm, cytoskeleton"
AT5G23420,p03-r01-c04,HMG,HMGB6,Nucleus,"Nucleus, nucleolus; Chromosome"
AT5G03500,p03-r01-c05,MED7,MED7B,Nucleus,Chromosome
AT2G40350,p03-r01-c06,AP2-EREBP,AT2G40350,Nucleus,"Nucleus, nucleolus; Chromosome"
AT2G30424,p03-r01-c07,MYB-related,TCL2,Nucleus,"Nucleus, nucleolus; Chromosome"
AT4G21080,p03-r01-c08,C2C2-DOF,DOF4.5,Nucleus,Chromosome
AT3G17730,p03-r01-c09,NAC,NAC057,Nucleus,"Nucleus, nucleolus; Chromosome"
AT3G05800,p03-r01-c10,bHLH,AIF1,Nucleus,"Nucleus, nucleolus; Chromosome"
AT5G64530,p03-r01-c11,NAC,ANAC104,Nucleus,"Nucleus, nucleolus; Chromosome"
AT3G17100,p03-r01-c12,bHLH,AIF3,Nucleus,"Nucleus, nucleolus; Chromosome"
AT5G19910,p03-r01-c13,SOH1,MED31,Nucleus,Chromosome
AT3G12130,p03-r01-c14,C3H,AT3G12130,Nucleus,Chromosome
AT2G14880,p03-r01-c15,SWI/SNF-BAF60b,AT2G14880,Plastid,"Plastid, chloroplast stroma; Plastid, chloroplast thylakoid membrane"
AT1G76510,p03-r01-c16,ARID,AT1G76510,Nucleus,Chromosome
AT2G35605,p03-r01-c17,SWI/SNF-BAF60b,AT2G35605,Mitochondrion,Mitochondrion inner membrane
AT5G57420,p03-r01-c18,AUX-IAA,IAA33,Nucleus,Chromosome
AT3G48600,p03-r01-c19,SWI/SNF-BAF60b,AT3G48600,Mitochondrion,Mitochondrion inner membrane
AT1G11490,p03-r01-c20,C2H2,AT1G11490,Mitochondrion,Mitochondrion inner membrane
AT1G12440,p03-r01-c21,zf-AN1,AT1G12440,Cytoplasm,"Cytoplasm, cytoskeleton"
AT1G68360,p03-r01-c22,C2H2,GIS3,Nucleus,Nucleus speckle; Chromosome
AT3G28917,p03-r01-c23,zf-HD,MIF2,Nucleus,Chromosome
AT2G28710,p03-r01-c24,C2H2,AT2G28710,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
